UserID,No_of_days_Visited_7_Days,No_Of_Products_Viewed_15_Days,User_Vintage,Most_Viewed_product_15_Days,Most_Active_OS,Recently_Viewed_Product,Pageloads_last_7_days,Clicks_last_7_days
U106593,2,9,259,PR100017,ANDROID,PR103384,4,5
U108297,2,6,1097,PR101030,WINDOWS,PR100108,9,4
U132443,0,0,240,Product101,WINDOWS,PR100070,0,0
U134616,0,0,447,Product101,WINDOWS,PR100495,0,0
U130784,0,0,262,Product101,CHROME OS,PR102323,0,0
U120983,0,1,77,PR100340,WINDOWS,PR100340,0,0
U120287,0,18,46,PR100060,WINDOWS,PR101505,0,0
U124307,0,2,630,PR100017,MAC OS X,PR100017,0,0
U113937,1,7,159,PR101042,MAC OS X,PR101042,11,512
U115735,1,18,48,PR101042,WINDOWS,PR101367,3,9
U103943,3,6,65,PR101964,WINDOWS,PR100054,4,7
U125369,0,2,86,PR100573,IOS,PR100573,0,0
U111160,1,8,135,PR100515,ANDROID,PR102361,12,21
U106132,1,8,1044,PR100152,MAC OS X,PR100390,10,17
U123525,0,1,61,PR101614,ANDROID,PR101614,0,0
U119431,0,6,407,PR100339,WINDOWS,PR100152,0,0
U101041,4,3,180,PR100784,WINDOWS,PR100784,8,0
U101158,1,7,45,PR101042,WINDOWS,PR101042,4,9
U120095,0,6,160,PR100193,WINDOWS,PR100735,0,0
U110592,4,13,832,PR100106,MAC OS X,PR100355,6,7
U103297,4,5,1920,PR100200,WINDOWS,PR101397,4,5
U102207,1,15,859,PR100051,MAC OS X,PR100005,1,3
U109651,2,5,256,PR103727,WINDOWS,PR100503,3,2
U113103,1,4,130,PR100069,WINDOWS,PR101063,2,0
U121498,0,6,145,PR100017,ANDROID,PR100017,0,0
U117762,1,1,74,PR100281,WINDOWS,PR100281,1,49
U108207,4,7,1149,PR100017,WINDOWS,PR100906,6,3
U126926,0,1,808,PR101451,ANDROID,PR101451,0,0
U121093,0,1,747,PR100988,ANDROID,PR100988,0,0
U107327,4,9,1222,PR100028,WINDOWS,PR100028,27,64
U104712,1,9,369,PR101042,WINDOWS,PR101042,11,120
U103507,4,8,116,PR100166,WINDOWS,PR100390,5,13
U104373,1,7,72,PR100390,ANDROID,PR100390,9,11
U128654,0,0,240,Product101,MAC OS X,PR100376,0,0
U100382,5,21,116,PR101876,WINDOWS,PR101355,9,49
U107505,2,4,75,PR100166,WINDOWS,PR100390,7,5
U104061,1,10,396,PR100390,ANDROID,PR100040,18,21
U100478,1,2,888,PR100994,WINDOWS,PR100994,2,0
U125974,0,2,70,PR100487,WINDOWS,PR100487,0,0
U120622,0,1,52,PR100102,WINDOWS,PR100102,0,0
U108084,2,12,80,PR100739,WINDOWS,PR100061,2,14
U108811,5,29,42,PR100661,ANDROID,PR100382,19,16
U106982,3,13,515,PR101042,WINDOWS,PR101042,12,31
U105355,4,17,2256,PR100017,ANDROID,PR100606,10,5
U101680,3,7,1431,PR101042,WINDOWS,PR101367,5,11
U130635,0,0,44,Product101,WINDOWS,PR100121,0,0
U111718,1,8,254,PR101575,WINDOWS,PR101574,7,102
U107191,2,13,359,PR100390,WINDOWS,PR100044,1,6
U100693,3,13,1047,PR101042,MAC OS X,PR101367,68,436
U118221,0,3,46,PR100102,WINDOWS,PR107738,0,0
U117553,1,7,1322,PR101644,WINDOWS,PR100760,0,16
U104056,4,11,298,PR101042,WINDOWS,PR100051,21,85
U122811,0,4,1891,PR100723,WINDOWS,PR100723,0,0
U113585,3,4,325,PR101742,ANDROID,PR101742,4,1
U101197,2,11,976,PR100166,WINDOWS,PR100072,2,3
U116465,1,1,90,PR102229,ANDROID,PR102229,2,0
U136023,0,0,78,Product101,WINDOWS,PR100390,0,0
U114172,1,7,52,PR100876,WINDOWS,PR100123,6,7
U109557,1,1,944,PR100017,ANDROID,PR100017,1,0
U110772,1,1,683,PR101215,WINDOWS,PR101215,1,26
U126929,0,1,61,PR100013,WINDOWS,PR100013,0,0
U116956,1,11,71,PR100187,WINDOWS,PR100070,10,6
U109943,3,4,99,PR100390,WINDOWS,PR101734,0,4
U108481,3,6,795,PR100287,WINDOWS,PR100287,7,10
U117199,1,3,719,PR103544,WINDOWS,PR100390,2,3
U111185,3,8,42,PR101042,WINDOWS,PR101042,8,19
U103419,6,24,508,PR101042,UBUNTU,PR101367,202,418
U115825,1,6,247,PR100509,WINDOWS,PR100475,3,2
U111480,1,5,1620,PR100664,LINUX,PR100515,2,3
