UserID,No_of_days_Visited_7_Days,No_Of_Products_Viewed_15_Days,User_Vintage,Most_Viewed_product_15_Days,Most_Active_OS,Recently_Viewed_Product,Pageloads_last_7_days,Clicks_last_7_days
U124954,0,1,169,PR100047,WINDOWS,PR100047,0,0
U124892,0,1,85,PR100279,WINDOWS,PR100279,0,0
U123462,0,1,1057,PR100980,WINDOWS,Product101,0,0
U107624,1,1,2163,PR100498,ANDROID,PR100498,1,1
U122026,0,0,98,Product101,ANDROID,PR100023,0,0
U108016,1,2,718,PR100017,IOS,PR100655,1,0
U103222,1,2,674,PR102032,WINDOWS,PR102032,0,1
U107635,1,1,50,PR100453,WINDOWS,Product101,0,0
U119933,0,1,369,PR100200,ANDROID,PR100200,0,0
U100537,0,0,398,Product101,WINDOWS,PR100102,0,0
U126691,0,4,107,PR100629,ANDROID,PR100629,0,0
U116495,1,3,118,PR100017,ANDROID,PR101039,1,0
U130577,0,0,68,Product101,UBUNTU,PR101283,0,0
U112864,3,4,108,PR100390,WINDOWS,PR100085,4,7
U130871,0,0,67,Product101,WINDOWS,PR100209,0,0
U113583,1,0,435,Product101,ANDROID,PR100145,1,0
U111752,1,0,649,Product101,ANDROID,PR101241,0,0
U135413,0,0,52,Product101,WINDOWS,PR100279,0,0
U120056,0,2,287,PR100238,WINDOWS,PR100788,0,0
U123299,0,1,1243,PR100657,ANDROID,PR100657,0,0
U134514,0,0,1572,Product101,WINDOWS,PR100017,0,0
U110329,1,1,609,PR100369,ANDROID,PR100369,1,1
U101377,3,7,83,PR100753,MAC OS X,PR102319,4,3
U133064,0,0,766,Product101,WINDOWS,Product101,0,0
U112266,1,2,107,PR100017,WINDOWS,PR100017,1,3
U104328,1,1,48,PR100010,ANDROID,PR100010,1,0
U117350,0,2,88,PR100097,WINDOWS,PR100097,0,0
U118743,0,8,161,PR100237,WINDOWS,PR100073,0,0
U124189,0,1,1570,PR101255,WINDOWS,PR101255,0,0
U129023,0,0,382,Product101,MAC OS X,PR100206,0,0
U111525,2,1,78,PR100923,WINDOWS,PR100923,0,14
U109044,2,2,179,PR100036,ANDROID,PR100036,3,0
U101869,2,3,156,PR100795,WINDOWS,PR100795,4,4
U123041,0,1,77,PR100017,ANDROID,PR100017,0,0
U131684,0,0,830,Product101,ANDROID,PR100829,0,0
U124914,0,1,324,PR100382,WINDOWS,Product101,0,0
U110641,2,11,207,PR100241,ANDROID,PR100428,24,9
U104112,0,1,151,PR100266,WINDOWS,PR100266,0,0
U119550,0,2,113,PR100240,WINDOWS,PR100240,0,0
U107406,2,6,554,PR100102,ANDROID,PR100430,6,20
U108216,1,10,1119,PR100161,WINDOWS,PR100019,1,5
U107362,0,2,63,PR101814,ANDROID,PR105853,0,0
U115140,1,1,535,PR100017,ANDROID,PR100017,1,1
U108971,1,4,145,PR100003,MAC OS X,PR100378,1,0
U126788,0,1,431,PR100145,WINDOWS,Product101,0,0
U129049,0,0,122,Product101,ANDROID,PR100885,0,0
U101094,0,1,288,PR100104,WINDOWS,PR100104,0,0
U117522,0,2,692,PR100417,WINDOWS,PR100417,0,0
U132176,0,0,80,Product101,WINDOWS,PR100444,0,0
U105895,1,2,129,PR101058,ANDROID,PR101058,3,0
U102909,1,2,868,PR100010,WINDOWS,PR100010,1,0
U100283,0,0,295,Product101,WINDOWS,PR100850,0,0
U124931,0,3,100,PR100903,WINDOWS,PR100903,0,0
U106005,1,1,202,PR100500,ANDROID,PR100500,1,0
U112100,2,3,433,PR100102,ANDROID,PR100355,7,7
U136054,0,0,550,Product101,WINDOWS,Product101,0,0
U135791,0,0,567,Product101,LINUX,PR100454,0,0
U104640,1,2,663,PR100121,ANDROID,PR100401,1,0
U135867,0,0,156,Product101,WINDOWS,Product101,0,0
U100465,4,6,480,PR100166,WINDOWS,PR100390,11,6
U120864,0,1,2092,PR100713,WINDOWS,PR100713,0,0
U130968,0,0,125,Product101,ANDROID,PR100102,0,0
U119953,0,2,317,PR100858,WINDOWS,PR100011,0,0
U115373,2,2,625,PR100020,WINDOWS,PR100743,1,1
U103097,2,4,605,PR100029,WINDOWS,PR100029,0,1
U115651,2,4,116,PR101428,WINDOWS,PR101428,2,5
U131791,0,0,47,Product101,MAC OS X,PR100102,0,0
U115332,1,2,179,PR100145,ANDROID,PR100145,3,2
U128034,0,1,389,PR110385,WINDOWS,PR110385,0,0
U134025,0,0,2069,Product101,WINDOWS,PR100181,0,0
U115519,1,1,1340,PR100352,ANDROID,PR100352,0,3
U100829,1,1,561,PR100578,ANDROID,Product101,0,0
U119581,0,1,221,PR100073,ANDROID,PR100073,0,0
U130041,0,0,776,Product101,ANDROID,PR100102,0,0
U132267,0,0,75,Product101,WINDOWS,Product101,0,0
U109112,2,5,208,PR100355,WINDOWS,PR100502,3,6
U101297,0,2,860,PR100130,WINDOWS,PR100912,0,0
U124580,0,1,174,PR100872,WINDOWS,Product101,0,0
U136065,0,0,127,Product101,WINDOWS,PR100390,0,0
U110408,1,3,1217,PR101355,MAC OS X,PR100130,1,0
U119043,0,1,552,PR100355,WINDOWS,PR100355,0,0
U131960,0,0,818,Product101,WINDOWS,PR100219,0,0
U135611,0,0,1056,Product101,ANDROID,PR100345,0,0
