UserID,No_of_days_Visited_7_Days,No_Of_Products_Viewed_15_Days,User_Vintage,Most_Viewed_product_15_Days,Most_Active_OS,Recently_Viewed_Product,Pageloads_last_7_days,Clicks_last_7_days,Target_Customers
U106331,1,2,776,PR100166,WINDOWS,PR100166,1,0,0
U129596,0,0,82,Product101,ANDROID,PR100319,0,0,0
U110157,1,1,300,PR100371,WINDOWS,PR100371,1,2,0
U125417,0,1,404,PR100401,WINDOWS,PR100401,0,0,0
U108112,4,7,80,PR100166,WINDOWS,PR100095,14,20,0
U105643,1,2,585,PR102683,WINDOWS,PR102683,1,1,0
U116629,1,1,79,PR101095,WINDOWS,Product101,0,1,0
U126517,0,1,1485,PR100130,ANDROID,Product101,0,0,0
U116766,1,3,1903,PR100338,WINDOWS,PR100338,0,4,0
U117129,1,2,118,PR100102,WINDOWS,PR100200,2,10,0
U116082,1,1,59,PR100073,ANDROID,PR100073,1,0,0
U132223,0,0,503,Product101,WINDOWS,Product101,0,0,0
U131850,0,0,79,Product101,WINDOWS,Product101,0,0,0
U116240,1,14,194,PR100469,WINDOWS,PR100244,1,0,0
U121696,0,1,120,PR100094,WINDOWS,Product101,0,0,0
U127846,0,2,1182,PR100753,WINDOWS,PR100753,0,0,0
U108728,1,3,123,PR100017,WINDOWS,PR100557,2,4,0
U136771,0,0,186,Product101,IOS,PR100200,0,0,0
U108425,2,1,1081,PR100102,ANDROID,PR100102,4,1,0
U124380,0,1,164,PR100200,ANDROID,PR100200,0,0,0
U122883,0,1,68,PR100580,WINDOWS,PR100580,0,0,0
U110285,1,2,45,PR100750,WINDOWS,PR100750,3,2,0
U122287,0,1,109,PR101624,WINDOWS,PR101624,0,0,0
U126132,0,1,203,PR100661,ANDROID,PR101034,0,0,0
U124657,0,1,115,PR100192,WINDOWS,Product101,0,0,0
U120195,0,2,240,PR100027,WINDOWS,PR100027,0,0,0
U132246,0,0,242,Product101,WINDOWS,Product101,0,0,0
U128083,0,1,68,PR100145,ANDROID,PR100145,0,0,0
U107690,2,1,96,PR100341,WINDOWS,PR100341,2,0,0
U128239,0,0,1078,Product101,ANDROID,PR100017,0,0,0
U114008,0,1,43,PR100050,WINDOWS,PR100050,0,0,0
U123408,0,1,739,PR100050,WINDOWS,PR100291,0,0,0
U104806,3,12,116,PR100166,WINDOWS,PR100166,10,15,0
U105096,1,1,85,PR100073,ANDROID,PR100073,1,1,0
U132678,0,0,69,Product101,WINDOWS,PR100070,0,0,0
U126288,0,5,764,PR100102,ANDROID,PR100200,0,0,0
U133485,0,0,126,Product101,ANDROID,PR100102,0,0,0
U112689,1,1,758,PR100036,MAC OS X,PR100036,1,1,0
U126301,0,1,153,PR100434,WINDOWS,PR100434,0,0,0
U112552,1,1,547,PR100017,IOS,PR100017,2,4,0
U105214,1,1,83,PR100181,WINDOWS,PR100181,2,0,0
U124877,0,1,237,PR100105,WINDOWS,PR100105,0,0,0
U114001,0,0,48,Product101,WINDOWS,PR100094,0,0,0
U118733,0,1,1007,PR101782,WINDOWS,PR101782,0,0,0
U103966,2,10,314,PR100417,ANDROID,PR100119,5,7,0
U125370,0,2,151,PR100069,WINDOWS,PR100069,0,0,0
U107391,1,1,230,PR100017,ANDROID,PR100017,1,0,0
U115273,1,2,221,PR100350,WINDOWS,PR101181,1,0,0
U106215,4,14,523,PR104170,WINDOWS,PR104170,13,2,0
U117704,1,3,1169,PR100461,WINDOWS,PR100461,5,5,0
U112406,1,1,1088,PR100369,ANDROID,PR100369,1,0,0
U134056,0,0,47,Product101,WINDOWS,PR100145,0,0,0
U115529,1,1,230,PR100209,WINDOWS,Product101,0,1,0
U129658,0,0,77,Product101,MAC OS X,PR100095,0,0,0
U121028,0,1,313,PR103206,WINDOWS,PR103206,0,0,0
U109940,1,2,51,PR100470,ANDROID,PR100470,1,0,0
U113486,1,1,92,PR100070,ANDROID,PR100070,3,1,0
U114270,0,0,304,Product101,WINDOWS,Product101,0,0,0
U116604,1,1,149,PR100120,WINDOWS,PR100120,2,0,0
U127970,0,4,121,PR100017,WINDOWS,PR100458,0,0,0
U110865,1,1,74,PR100145,MAC OS X,Product101,0,1,0
U135928,0,0,61,Product101,ANDROID,PR100200,0,0,0
U134579,0,0,110,Product101,ANDROID,PR100102,0,0,0
U103334,1,5,173,PR100249,ANDROID,PR101216,0,1,0
U132951,0,0,57,Product101,WINDOWS,Product101,0,0,0
U124601,0,1,49,PR100026,WINDOWS,PR100026,0,0,0
U102817,4,4,620,PR100390,WINDOWS,PR100390,9,15,0
U109636,2,2,47,PR100086,WINDOWS,PR100020,3,219,0
U131676,0,0,46,Product101,ANDROID,Product101,0,0,0
U129916,0,0,216,Product101,LINUX,PR100279,0,0,0
U133086,0,0,215,Product101,MAC OS X,PR100164,0,0,0
U122815,0,2,245,PR100086,WINDOWS,PR100086,0,0,0
U135329,0,0,56,Product101,WINDOWS,PR100308,0,0,0
U102517,0,0,124,Product101,WINDOWS,PR100598,0,0,0
U124158,0,2,152,PR100251,WINDOWS,PR100251,0,0,0
U107338,1,6,151,PR100044,WINDOWS,PR103750,7,7,0
U100717,1,2,421,PR100017,ANDROID,PR100017,1,2,0
U101359,0,0,340,Product101,WINDOWS,Product101,0,0,0
U133262,0,0,182,Product101,WINDOWS,PR101030,0,0,0
U104154,2,6,281,PR100017,WINDOWS,PR100400,2,1,0
U116714,1,1,969,PR100335,ANDROID,PR100335,1,2,0
U111785,1,6,325,PR100466,WINDOWS,PR101520,5,33,0
U117822,1,1,51,PR100073,ANDROID,PR100073,1,0,0
U132459,0,0,1097,Product101,WINDOWS,Product101,0,0,0
U110655,0,1,222,PR100166,WINDOWS,PR100166,0,0,0
U133906,0,0,113,Product101,WINDOWS,Product101,0,0,0
U128847,0,0,276,Product101,WINDOWS,PR100036,0,0,0
U133079,0,0,379,Product101,ANDROID,Product101,0,0,0
U118308,0,1,516,PR100533,ANDROID,PR100533,0,0,0
U127992,0,3,86,PR100573,WINDOWS,PR100573,0,0,0
U108555,1,2,1441,PR100144,WINDOWS,PR100144,3,3,0
U123622,0,1,733,PR100444,IOS,PR100444,0,0,0
U120185,0,1,297,PR100102,ANDROID,PR100102,0,0,0
U102096,5,31,470,PR100051,WINDOWS,PR100498,75,74,1
U112265,1,1,104,PR100539,WINDOWS,PR100539,0,6,0
U117312,1,1,176,PR100036,MAC OS X,PR100036,2,0,0
U108107,2,11,81,PR100071,WINDOWS,PR100072,10,9,0
U107074,1,3,603,PR100522,WINDOWS,PR100522,1,46,0
U127901,0,1,105,PR100771,WINDOWS,PR100771,0,0,0
U110383,1,1,1994,PR102001,WINDOWS,PR102001,2,0,0
U101386,1,2,110,PR100017,ANDROID,PR100017,0,1,0
U136946,0,0,2058,Product101,MAC OS X,PR100047,0,0,0
U119836,0,12,43,PR100001,WINDOWS,PR100180,0,0,0
U119533,0,1,592,PR100073,WINDOWS,PR100073,0,0,0
U112796,1,1,89,PR100244,WINDOWS,PR100244,1,2,0
U128675,0,0,135,Product101,WINDOWS,PR100137,0,0,0
U106875,1,1,379,PR100017,ANDROID,PR100471,0,1,0
U133236,0,0,68,Product101,MAC OS X,PR100119,0,0,0
U126764,0,1,437,PR100739,WINDOWS,PR100739,0,0,0
U111876,1,1,53,PR101188,ANDROID,PR101188,1,2,0
U131184,0,0,236,Product101,WINDOWS,PR100055,0,0,0
U126903,0,1,72,PR100567,ANDROID,PR100567,0,0,0
U127293,0,1,174,PR100237,WINDOWS,Product101,0,0,0
U127837,0,1,256,PR100043,WINDOWS,PR100043,0,0,0
U111139,1,3,73,PR100043,WINDOWS,PR100043,0,1,0
U132340,0,0,538,Product101,ANDROID,PR100166,0,0,0
U111529,1,1,627,PR100470,ANDROID,Product101,0,0,0
U109786,2,5,362,PR100479,ANDROID,PR100470,2,0,0
U114344,2,6,731,PR100096,WINDOWS,PR100096,2,1,0
U123453,0,1,813,PR100258,ANDROID,PR100258,0,0,0
U119064,0,1,642,PR100849,WINDOWS,Product101,0,0,0
U119254,0,2,428,PR100129,WINDOWS,PR100453,0,0,0
U109988,2,5,69,PR100048,MAC OS X,PR101360,2,2,0
U131528,0,0,324,Product101,ANDROID,PR100094,0,0,0
U110253,1,2,55,PR100070,MAC OS X,PR100028,1,1,0
U109509,1,1,52,PR100018,ANDROID,PR100018,2,1,0
U101620,2,3,960,PR100481,WINDOWS,PR101225,2,15,0
U126387,0,1,516,PR101014,WINDOWS,Product101,0,0,0
U113414,2,3,288,PR100794,WINDOWS,PR100017,0,13,0
U117902,0,1,85,PR100102,ANDROID,PR100102,0,0,0
U124273,0,0,57,Product101,ANDROID,Product101,0,0,0
U127412,0,1,757,PR100017,WINDOWS,PR100017,0,0,0
U115514,1,1,179,PR100145,ANDROID,PR100145,2,1,0
U106578,3,16,100,PR100542,WINDOWS,PR100542,14,18,0
U129168,0,0,597,Product101,WINDOWS,PR100188,0,0,0
U115707,1,1,1991,PR100010,ANDROID,PR100010,1,0,0
U109104,1,3,154,PR100036,WINDOWS,PR101151,1,0,0
U102270,1,2,1144,PR100348,WINDOWS,PR100206,1,0,0
U104725,1,6,302,PR100028,WINDOWS,PR100453,1,0,0
U130911,0,0,328,Product101,WINDOWS,PR100166,0,0,0
U135707,0,0,62,Product101,WINDOWS,PR100872,0,0,0
U109549,2,2,75,PR100183,WINDOWS,PR101188,2,4,0
U133744,0,0,96,Product101,WINDOWS,PR100147,0,0,0
U129069,0,0,893,Product101,WINDOWS,PR101041,0,0,0
